,IdSell,SellerG,Date,Price,Method,Type,Rooms,Bathroom,Bedroom2,Car,Landsize,BuildingArea,YearBuilt
38,0533820,Nelson,3/09/2016,840000.0,PI,t,3,2.0,3.0,1.0,303.0,225.0,2016.0
39,0931380,Nelson,3/12/2016,730000.0,VB,h,3,2.0,3.0,1.0,0.0,145.0,1965.0
40,0372542,Nelson,4/03/2017,770000.0,SP,h,3,2.0,3.0,1.0,0.0,145.0,1965.0
41,0329451,Nelson,4/03/2017,603000.0,S,h,2,1.0,2.0,1.0,272.0,84.0,1950.0
42,0177693,Brad,4/03/2017,700000.0,S,t,3,2.0,3.0,2.0,239.0,134.0,2009.0
43,0171646,Maddison,4/03/2017,600000.0,S,h,3,1.0,2.0,1.0,290.0,116.0,1980.0
44,0959912,Barry,4/03/2017,500000.0,VB,u,2,1.0,2.0,1.0,168.0,86.0,2011.0
45,0629969,Barry,6/08/2016,720000.0,S,h,3,1.0,2.0,1.0,620.0,,
46,0176720,Considine,6/08/2016,785000.0,S,h,4,1.0,3.0,2.0,597.0,127.0,
47,0502777,Barry,7/05/2016,725000.0,SP,h,6,3.0,6.0,2.0,976.0,186.0,1980.0
48,0577450,Barry,7/05/2016,450000.0,S,t,2,1.0,2.0,1.0,110.0,90.0,2015.0
49,0238758,Barry,7/11/2016,515000.0,S,u,2,1.0,2.0,1.0,141.0,73.0,2013.0
50,0608185,Nelson,10/09/2016,530000.0,S,u,2,1.0,2.0,1.0,120.0,94.0,2012.0
51,0959310,Rendina,10/09/2016,895000.0,PI,h,3,1.0,3.0,6.0,1063.0,133.0,1975.0
52,0322151,Nelson,10/12/2016,805000.0,S,h,3,1.0,3.0,1.0,0.0,105.0,1950.0
53,0737067,Nelson,11/02/2017,752000.0,S,u,3,1.0,3.0,1.0,265.0,130.0,1993.0
54,0778906,Barry,13/08/2016,440000.0,S,u,2,1.0,2.0,1.0,192.0,,
55,0166094,Propertyau,14/05/2016,755000.0,PI,h,5,2.0,3.0,2.0,596.0,,
56,0394381,Brad,15/10/2016,700000.0,PI,t,3,2.0,3.0,2.0,165.0,133.0,2009.0
57,0810822,Barry,16/04/2016,830000.0,S,h,3,1.0,3.0,2.0,971.0,113.0,1960.0
58,0429339,Barry,16/07/2016,462500.0,S,u,2,1.0,2.0,1.0,164.0,,2003.0
59,0662663,Barry,16/07/2016,670000.0,SP,h,3,2.0,3.0,2.0,657.0,,
60,0688010,Barry,16/07/2016,675000.0,S,h,2,1.0,2.0,1.0,612.0,100.0,1975.0
61,0822910,Nelson,16/07/2016,1042000.0,S,h,3,2.0,3.0,5.0,612.0,174.0,1950.0
62,0675612,McDonald,17/09/2016,910000.0,S,h,3,1.0,3.0,1.0,775.0,,
63,0864324,Brad,17/09/2016,773000.0,S,h,4,3.0,5.0,4.0,531.0,309.0,1980.0
64,0997795,Barry,18/03/2017,810000.0,PI,h,3,3.0,3.0,2.0,555.0,192.0,1980.0
65,0674064,Rendina,18/03/2017,715000.0,S,h,3,2.0,3.0,2.0,422.0,126.0,1995.0
66,0301097,Nelson,18/03/2017,790000.0,S,h,3,1.0,3.0,3.0,614.0,,
67,0742849,Nelson,18/06/2016,540000.0,SP,t,3,2.0,2.0,1.0,161.0,101.0,2010.0
68,0290797,Barry,19/11/2016,825000.0,SP,t,3,2.0,3.0,1.0,293.0,102.0,1960.0
69,0697073,Barry,22/05/2016,685000.0,S,h,3,1.0,3.0,1.0,579.0,113.0,1975.0
70,0036020,Barry,22/08/2016,805000.0,S,h,3,1.0,3.0,1.0,623.0,,
71,0502305,Nelson,22/08/2016,510000.0,S,u,2,1.0,2.0,1.0,141.0,76.0,
72,0054737,Nelson,22/08/2016,612000.0,S,h,3,2.0,3.0,1.0,212.0,,
73,0173958,Brad,23/04/2016,662000.0,S,h,3,1.0,3.0,2.0,612.0,,
74,0562875,Nelson,24/09/2016,978000.0,S,h,4,3.0,4.0,2.0,532.0,,
75,0791271,Nelson,25/02/2017,720000.0,PI,h,3,1.0,3.0,1.0,585.0,,
76,0652253,Prof.,27/11/2016,765000.0,S,h,4,1.0,4.0,2.0,509.0,,
77,0099322,Harcourts,27/11/2016,900000.0,S,h,4,2.0,4.0,3.0,628.0,146.0,1975.0
78,0366793,hockingstuart,3/09/2016,1275000.0,S,h,2,1.0,2.0,0.0,120.0,82.0,1900.0
79,0007493,Thomson,3/09/2016,1455000.0,S,h,2,1.0,2.0,0.0,159.0,,
80,0774944,Buxton,4/03/2017,2850000.0,PI,h,3,2.0,3.0,0.0,211.0,198.0,1890.0
81,0735749,Greg,4/03/2017,1850000.0,S,h,3,2.0,3.0,0.0,128.0,133.0,1890.0
82,0282470,RT,4/03/2017,1436000.0,S,h,2,1.0,2.0,0.0,130.0,81.0,1900.0
83,0901348,Marshall,6/08/2016,1110000.0,S,h,2,1.0,1.0,0.0,147.0,,1900.0
84,0159094,Sotheby's,7/05/2016,1550000.0,S,h,2,1.0,2.0,1.0,167.0,,
85,0966625,Marshall,7/05/2016,2300000.0,S,h,4,2.0,4.0,1.0,153.0,180.0,1880.0
86,0749282,Marshall,7/11/2016,1550000.0,VB,t,3,2.0,3.0,2.0,718.0,,
87,0441116,Greg,7/11/2016,1800000.0,VB,h,3,2.0,3.0,1.0,132.0,159.0,1996.0
88,0074408,Greg,10/09/2016,2120000.0,S,h,2,1.0,2.0,1.0,199.0,107.0,1900.0
89,0944401,Cayzer,10/09/2016,1800000.0,VB,h,3,1.0,3.0,1.0,253.0,,
90,0827952,Marshall,10/09/2016,1800000.0,S,h,3,2.0,3.0,1.0,90.0,122.0,1900.0
91,0202793,Greg,10/12/2016,1810000.0,PI,h,2,1.0,2.0,0.0,240.0,,
92,0511941,Cayzer,10/12/2016,2615000.0,S,h,3,2.0,3.0,1.0,177.0,181.0,1880.0
93,0633931,Greg,10/12/2016,2100000.0,S,h,5,2.0,5.0,1.0,237.0,,
94,0418728,hockingstuart,10/12/2016,1300000.0,S,h,3,1.0,3.0,0.0,129.0,,
95,0811786,Greg,12/06/2016,1370000.0,S,h,3,2.0,3.0,2.0,0.0,85.0,2000.0
96,0854134,Cayzer,12/11/2016,1000000.0,S,h,2,1.0,2.0,0.0,288.0,,
97,0876335,Greg,15/10/2016,2575000.0,S,h,3,2.0,3.0,1.0,228.0,,
98,0408224,Greg,15/10/2016,1322500.0,S,h,2,1.0,2.0,0.0,149.0,98.0,1890.0
99,0570063,Greg,15/10/2016,1562500.0,S,h,2,1.0,2.0,0.0,141.0,83.0,1890.0
100,0588918,RT,16/04/2016,2000000.0,VB,h,3,2.0,3.0,1.0,211.0,147.0,1900.0
101,0503734,Greg,18/03/2017,1900000.0,S,h,3,1.0,3.0,0.0,209.0,,1900.0
102,0462100,Greg,18/03/2017,3010000.0,S,h,3,2.0,3.0,0.0,147.0,146.0,1890.0
103,0048096,Cayzer,18/06/2016,2800000.0,VB,h,4,3.0,4.0,1.0,327.0,254.0,1910.0
104,0718176,Greg,22/05/2016,647000.0,S,u,2,1.0,2.0,1.0,0.0,,
105,0390061,Marshall,23/04/2016,2100000.0,SP,h,3,1.0,2.0,1.0,120.0,123.0,1900.0
106,0679783,Marshall,24/09/2016,2000000.0,PI,h,3,1.0,3.0,1.0,238.0,131.0,1890.0
107,0878381,Marshall,25/02/2017,442500.0,S,u,1,1.0,1.0,0.0,0.0,34.0,1970.0
108,0877282,Marshall,25/02/2017,4735000.0,S,h,4,2.0,4.0,1.0,330.0,207.0,1910.0
109,0213107,Greg,25/02/2017,1340000.0,S,h,2,1.0,2.0,0.0,136.0,,
110,0998603,hockingstuart,25/02/2017,1801000.0,S,h,3,1.0,3.0,1.0,202.0,,
111,0915850,Chisholm,26/07/2016,1532000.0,S,h,3,3.0,3.0,1.0,0.0,,
112,0664352,Greg,26/07/2016,3755000.0,S,h,3,2.0,3.0,2.0,325.0,,
113,0655075,Greg,27/06/2016,2140000.0,S,h,4,2.0,3.0,1.0,183.0,145.0,1880.0
114,0184776,Marshall,27/11/2016,1750000.0,S,h,2,1.0,2.0,1.0,162.0,,
115,0508743,Greg,28/05/2016,980000.0,S,h,2,1.0,2.0,0.0,79.0,68.0,1890.0
116,0828365,hockingstuart,28/08/2016,2030000.0,S,h,3,2.0,3.0,0.0,152.0,,
117,0858706,Marshall,28/08/2016,1740000.0,PI,h,3,2.0,3.0,2.0,147.0,134.0,1890.0
118,0930828,Buxton,30/07/2016,2800000.0,VB,h,3,3.0,3.0,1.0,0.0,,
119,0835612,Marshall,30/07/2016,985000.0,S,h,1,1.0,1.0,0.0,81.0,54.0,1900.0
120,0399107,Brace,3/09/2016,2000000.0,S,h,4,2.0,3.0,4.0,853.0,263.0,1930.0
121,0288555,Jellis,3/09/2016,1110000.0,S,h,3,2.0,3.0,2.0,208.0,,2013.0
122,0935437,Jellis,4/03/2017,1492000.0,S,h,3,2.0,3.0,2.0,411.0,,
123,0239376,Collins,8/10/2016,1717500.0,S,h,4,2.0,4.0,1.0,599.0,203.0,1925.0
124,0589548,Nelson,12/06/2016,2840000.0,S,h,5,4.0,5.0,4.0,809.0,165.0,1910.0
125,0507957,Miles,12/11/2016,525500.0,S,u,2,1.0,2.0,1.0,88.0,60.0,1960.0
126,0628044,Miles,12/11/2016,805000.0,S,t,2,2.0,2.0,3.0,155.0,140.0,2004.0
127,0444894,McGrath,12/11/2016,465000.0,S,u,2,1.0,2.0,1.0,0.0,,
128,0367108,hockingstuart,15/10/2016,2000000.0,PI,h,3,3.0,3.0,2.0,686.0,,
129,0408957,Nelson,16/04/2016,1540000.0,S,h,3,1.0,3.0,2.0,592.0,,
130,0166932,Nelson,18/03/2017,820000.0,S,u,2,1.0,2.0,1.0,183.0,,
131,0731859,Nelson,19/11/2016,1830000.0,S,h,4,2.0,4.0,2.0,606.0,112.0,1970.0
132,0564428,Nelson,19/11/2016,2100000.0,S,h,4,2.0,4.0,2.0,575.0,271.0,2008.0
133,0360517,hockingstuart,22/05/2016,865000.0,SP,h,3,1.0,3.0,1.0,180.0,131.0,2010.0
134,0358623,Nelson,22/05/2016,390000.0,VB,u,2,1.0,2.0,1.0,0.0,60.0,1960.0
135,0555171,Brace,24/09/2016,650000.0,SP,t,2,1.0,0.0,0.0,0.0,,
136,0381265,Love,25/02/2017,512000.0,S,u,2,1.0,2.0,1.0,0.0,61.0,1965.0
137,0045843,Barry,27/06/2016,1165000.0,S,h,3,1.0,3.0,2.0,979.0,,
138,0096844,McGrath,27/11/2016,1900000.0,SP,h,4,2.0,4.0,2.0,556.0,272.0,1930.0
139,0121673,McGrath,28/08/2016,1485000.0,SP,h,3,0.0,3.0,0.0,597.0,,
140,0009511,Jellis,30/07/2016,1950000.0,S,h,4,2.0,4.0,3.0,589.0,210.0,1920.0
141,0229002,Greg,3/09/2016,520000.0,VB,h,3,2.0,3.0,1.0,352.0,242.0,2015.0
142,0093594,Greg,3/12/2016,1525000.0,S,h,5,3.0,5.0,3.0,729.0,268.0,2005.0
143,0893954,hockingstuart,4/02/2016,720000.0,S,t,2,1.0,2.0,2.0,292.0,125.0,2013.0
144,0169127,Barlow,4/03/2017,1120000.0,S,h,3,1.0,3.0,2.0,506.0,120.0,1930.0
145,0011174,Sweeney,4/06/2016,780000.0,PI,h,4,1.0,4.0,4.0,655.0,,
146,0732944,Greg,4/06/2016,1780000.0,SP,h,4,3.0,4.0,6.0,1057.0,220.0,1962.0
147,0683034,Barlow,6/08/2016,630000.0,S,u,3,1.0,2.0,2.0,311.0,94.0,1955.0
148,0870641,hockingstuart,6/08/2016,406000.0,SP,u,2,1.0,2.0,1.0,65.0,,
149,0437490,Greg,7/05/2016,660000.0,VB,h,3,1.0,3.0,1.0,602.0,123.0,1955.0
150,0012870,Greg,7/11/2016,683500.0,S,h,3,1.0,3.0,1.0,530.0,,
151,0102068,Barlow,8/10/2016,580000.0,S,u,2,1.0,2.0,1.0,225.0,93.0,1988.0
152,0668265,hockingstuart,8/10/2016,1335000.0,S,h,3,1.0,3.0,4.0,777.0,22.0,1953.0
153,0361985,hockingstuart,8/10/2016,800000.0,SP,t,3,2.0,3.0,2.0,280.0,,1997.0
154,0675154,Village,10/09/2016,510000.0,S,u,2,1.0,2.0,1.0,127.0,76.0,1990.0
155,0430993,Barlow,10/09/2016,1070000.0,S,h,4,2.0,4.0,2.0,695.0,,
156,0508451,hockingstuart,10/09/2016,425000.0,S,u,2,1.0,2.0,2.0,115.0,57.0,1980.0
157,0446343,Jas,10/12/2016,605000.0,S,u,3,2.0,3.0,2.0,230.0,,
158,0697304,hockingstuart,11/02/2017,705000.0,S,t,3,2.0,3.0,2.0,197.0,152.0,
159,0615392,Greg,11/02/2017,391000.0,SP,u,2,1.0,2.0,1.0,0.0,65.0,1965.0
160,0106511,hockingstuart,11/02/2017,440000.0,SP,u,2,1.0,2.0,1.0,0.0,,
161,0150110,hockingstuart,11/02/2017,845000.0,S,h,4,1.0,4.0,2.0,745.0,130.0,1950.0
162,0762740,Gunn&Co,12/11/2016,743000.0,SP,t,3,2.0,3.0,2.0,211.0,176.0,
163,0005315,Barlow,13/08/2016,730000.0,SP,u,3,2.0,3.0,1.0,69.0,141.0,2014.0
164,0104392,Sweeney,14/05/2016,635000.0,S,h,3,1.0,3.0,4.0,625.0,,1960.0
165,0536572,hockingstuart,14/05/2016,620000.0,SP,u,2,1.0,2.0,1.0,168.0,,
166,0755967,Burnham,15/10/2016,447000.0,S,u,2,1.0,2.0,1.0,137.0,77.0,1990.0
167,0643387,Barlow,16/04/2016,730000.0,SP,u,3,2.0,3.0,1.0,70.0,,
168,0118681,hockingstuart,16/04/2016,678000.0,S,h,3,1.0,3.0,2.0,606.0,87.0,1950.0
169,0570182,Biggin,16/07/2016,580000.0,PI,u,2,2.0,2.0,1.0,175.0,76.0,2013.0
170,0315653,hockingstuart,17/09/2016,712000.0,S,h,3,1.0,3.0,2.0,363.0,,
171,0969263,Greg,18/03/2017,840000.0,SP,h,3,2.0,3.0,2.0,534.0,136.0,1965.0
172,0892863,Barlow,19/11/2016,980000.0,S,h,3,1.0,3.0,2.0,724.0,,
173,0737961,hockingstuart,22/05/2016,605100.0,S,t,3,2.0,3.0,0.0,265.0,,
174,0552045,Barlow,22/08/2016,880000.0,PI,h,3,3.0,3.0,1.0,577.0,,
175,0437329,Williams,23/04/2016,577000.0,S,u,3,2.0,3.0,1.0,205.0,113.0,2007.0
176,0524036,Barlow,25/02/2017,1030000.0,S,h,4,1.0,4.0,0.0,797.0,,
177,0952946,Barlow,25/02/2017,605000.0,S,u,3,1.0,3.0,2.0,181.0,,
178,0957481,Barlow,27/06/2016,753000.0,S,h,3,2.0,3.0,2.0,529.0,,
179,0404861,hockingstuart,27/11/2016,857000.0,SP,h,2,2.0,2.0,1.0,675.0,100.0,1950.0
180,0935098,Barlow,28/05/2016,1500000.0,S,h,3,1.0,3.0,1.0,929.0,,
181,0338357,Barlow,28/05/2016,730000.0,SP,u,3,2.0,3.0,1.0,70.0,3.0,2014.0
182,0933382,Sweeney,28/05/2016,900000.0,S,h,3,1.0,3.0,4.0,697.0,,
183,0238807,Greg,28/08/2016,740000.0,S,h,3,1.0,3.0,2.0,604.0,,
184,0955985,Sweeney,28/08/2016,931000.0,S,h,4,2.0,4.0,3.0,532.0,,1970.0
185,0378149,Compton,30/07/2016,535600.0,SP,h,2,1.0,2.0,1.0,154.0,91.0,1996.0
186,0186819,FN,3/09/2016,1085000.0,S,h,5,3.0,5.0,6.0,592.0,251.0,1965.0
187,0089797,Jas,3/09/2016,781000.0,S,h,3,1.0,3.0,2.0,533.0,117.0,1970.0
188,0904267,Jas,4/03/2017,750000.0,SP,h,3,1.0,3.0,3.0,554.0,,
189,0036376,hockingstuart,4/03/2017,421000.0,S,t,2,1.0,2.0,1.0,77.0,77.0,2009.0
190,0547865,Sweeney,4/03/2017,1405000.0,S,h,3,1.0,3.0,3.0,655.0,,
191,0044028,FN,4/06/2016,683000.0,S,h,3,1.0,3.0,2.0,534.0,167.0,1967.0
192,0579587,Sweeney,4/06/2016,623000.0,S,h,3,1.0,3.0,3.0,540.0,,
193,0666713,Greg,6/08/2016,720000.0,VB,h,3,2.0,3.0,1.0,0.0,130.0,2012.0
194,0995801,Williams,7/05/2016,588000.0,S,h,3,1.0,3.0,1.0,328.0,118.0,1970.0
195,0843388,Village,7/11/2016,710000.0,PI,h,3,1.0,3.0,3.0,540.0,116.0,1960.0
196,0800411,Jas,8/10/2016,875000.0,SP,h,4,1.0,3.0,4.0,559.0,169.0,1965.0
197,0463225,Jas,10/12/2016,700000.0,VB,h,3,1.0,3.0,3.0,554.0,,
198,0964117,Williams,11/03/2017,640000.0,S,t,2,1.0,2.0,1.0,252.0,,1965.0
199,0409182,Williams,12/06/2016,650000.0,SP,h,4,1.0,4.0,4.0,558.0,,
200,0918501,hockingstuart,14/05/2016,675000.0,S,h,3,2.0,3.0,2.0,171.0,109.0,2012.0
201,0896261,Greg,15/10/2016,708000.0,S,h,3,1.0,3.0,2.0,585.0,97.0,1960.0
202,0565022,Gunn&Co,15/10/2016,965000.0,SP,h,4,1.0,4.0,4.0,851.0,,
203,0829857,Sweeney,19/11/2016,680000.0,S,h,3,1.0,3.0,3.0,551.0,,
204,0472296,hockingstuart,19/11/2016,770000.0,SP,h,3,1.0,3.0,3.0,602.0,603.0,
205,0800356,Greg,22/05/2016,923000.0,S,h,3,1.0,3.0,2.0,740.0,,
206,0130350,Raine&Horne,22/05/2016,693000.0,SP,h,4,2.0,4.0,4.0,315.0,170.0,2008.0
207,0301539,Hunter,22/08/2016,620000.0,SP,h,3,2.0,5.0,2.0,276.0,100.0,2010.0
208,0793852,Jas,22/08/2016,728500.0,S,h,3,1.0,3.0,1.0,531.0,157.0,1960.0
209,0576756,hockingstuart,22/08/2016,931000.0,S,h,3,2.0,3.0,1.0,590.0,160.0,1950.0
210,0238870,Sweeney,22/08/2016,988000.0,S,h,3,1.0,3.0,4.0,715.0,,2008.0
211,0727088,Village,23/04/2016,590000.0,S,h,3,1.0,3.0,2.0,561.0,,
212,0849593,RT,24/09/2016,610000.0,S,h,2,1.0,2.0,2.0,691.0,,
213,0976422,hockingstuart,25/02/2017,815000.0,S,h,3,2.0,3.0,3.0,555.0,130.0,1960.0
214,0340454,Greg,25/02/2017,970000.0,S,h,4,1.0,4.0,2.0,708.0,,
215,0574520,Hunter,27/06/2016,760000.0,S,h,4,1.0,4.0,3.0,668.0,,
216,0070811,RT,27/06/2016,847500.0,S,t,4,3.0,4.0,1.0,252.0,,
217,0145387,RT,27/11/2016,1200000.0,SP,h,4,1.0,4.0,4.0,633.0,158.0,1960.0
218,0727142,Hunter,27/11/2016,700000.0,SP,h,3,1.0,3.0,1.0,557.0,,
219,0548454,Hunter,28/05/2016,625000.0,PI,h,3,1.0,3.0,1.0,536.0,,
220,0986447,Jas,28/08/2016,292000.0,S,u,2,1.0,2.0,1.0,153.0,70.0,1970.0
221,0592346,Jellis,3/09/2016,599000.0,S,u,2,1.0,2.0,1.0,0.0,76.0,1964.0
222,0963327,Noel,3/12/2016,550000.0,VB,u,2,1.0,2.0,0.0,861.0,,
223,0775572,Marshall,3/12/2016,995000.0,S,u,3,2.0,3.0,2.0,0.0,100.0,1998.0
224,0578888,Jellis,3/12/2016,1205000.0,S,t,3,2.0,3.0,2.0,101.0,105.0,2000.0
225,0705851,Jellis,3/12/2016,1939000.0,S,h,3,2.0,3.0,2.0,296.0,150.0,1889.0
226,0601324,Biggin,3/12/2016,421500.0,S,u,1,1.0,1.0,0.0,0.0,,
227,0140643,Hodges,4/03/2017,1870000.0,S,h,3,1.0,3.0,1.0,217.0,116.0,1888.0
228,0445200,hockingstuart,4/03/2017,678000.0,S,u,2,1.0,2.0,2.0,0.0,,
229,0586389,Jellis,4/03/2017,1918000.0,SP,t,3,2.0,3.0,2.0,0.0,165.0,1995.0
230,0298503,hockingstuart,4/03/2017,660000.0,SP,u,2,1.0,2.0,1.0,0.0,,
231,0523196,Marshall,4/03/2017,2050000.0,S,h,3,2.0,3.0,1.0,205.0,116.0,1910.0
232,0264497,Jellis,4/06/2016,700000.0,VB,u,2,1.0,2.0,2.0,0.0,,
233,0213060,Jellis,4/06/2016,3625000.0,S,u,2,2.0,3.0,2.0,0.0,,2006.0
234,0346683,Jellis,4/06/2016,3000000.0,VB,h,4,2.0,4.0,2.0,1581.0,,1934.0
235,0134815,Jellis,7/05/2016,1525000.0,PI,h,5,2.0,8.0,2.0,693.0,,
236,0791838,Marshall,7/05/2016,735000.0,PI,u,3,2.0,3.0,1.0,2113.0,14.0,1970.0
237,0637694,Jellis,7/05/2016,825000.0,S,u,2,1.0,2.0,1.0,0.0,,
238,0230860,RT,7/05/2016,1586000.0,S,t,3,2.0,2.0,2.0,246.0,,
239,0260493,Marshall,8/10/2016,645000.0,S,u,2,1.0,3.0,1.0,0.0,,1960.0
240,0305092,Jellis,8/10/2016,1435000.0,SP,h,1,2.0,2.0,1.0,144.0,107.0,1900.0
241,0287810,hockingstuart,10/09/2016,280000.0,PI,u,1,1.0,1.0,1.0,0.0,38.0,1975.0
242,0479939,hockingstuart,10/12/2016,400000.0,PI,u,1,1.0,1.0,1.0,0.0,,
243,0043699,Marshall,10/12/2016,1780000.0,S,h,2,2.0,2.0,2.0,0.0,,
244,0352051,hockingstuart,10/12/2016,592500.0,S,u,2,1.0,2.0,1.0,0.0,73.0,1970.0
245,0655183,Marshall,12/11/2016,1210000.0,S,h,2,1.0,2.0,0.0,249.0,96.0,1910.0
246,0583681,Marshall,12/11/2016,2801000.0,S,h,4,2.0,4.0,2.0,624.0,222.0,1900.0
247,0447999,Jellis,14/05/2016,390000.0,S,u,1,1.0,1.0,0.0,881.0,,
248,0229704,RT,15/10/2016,1800000.0,PI,h,3,2.0,3.0,2.0,405.0,121.0,1910.0
249,0464394,Jellis,15/10/2016,2200000.0,PI,h,4,1.0,4.0,2.0,495.0,163.0,1900.0
250,0021628,Jellis,16/04/2016,324000.0,S,u,1,1.0,1.0,1.0,0.0,,
251,0912608,Marshall,17/09/2016,5525000.0,S,h,6,3.0,5.0,4.0,1491.0,516.0,1935.0
252,0222814,RT,17/09/2016,1125000.0,S,h,2,1.0,3.0,2.0,169.0,,
253,0487407,Marshall,17/09/2016,2250000.0,S,h,3,3.0,3.0,1.0,301.0,,
254,0161610,hockingstuart,18/03/2017,2360000.0,S,h,3,2.0,3.0,0.0,336.0,,
255,0198294,Jellis,18/03/2017,1900000.0,VB,h,2,2.0,2.0,0.0,207.0,,
256,0820403,Jellis,18/03/2017,440000.0,SP,u,1,1.0,1.0,1.0,0.0,53.0,1970.0
257,0938002,Ray,18/06/2016,490000.0,PI,u,2,1.0,2.0,1.0,0.0,,1966.0
258,0051243,Marshall,18/06/2016,2365000.0,S,h,3,2.0,3.0,1.0,316.0,,
259,0553728,Jellis,18/06/2016,1300000.0,VB,h,3,1.0,2.0,2.0,212.0,106.0,1900.0
260,0438837,Gary,18/06/2016,732000.0,S,u,3,2.0,3.0,2.0,0.0,,
261,0511922,Greg,19/11/2016,704000.0,SP,u,2,1.0,2.0,1.0,0.0,74.0,1969.0
262,0841390,Marshall,19/11/2016,620000.0,VB,u,2,1.0,3.0,1.0,0.0,98.0,1970.0
263,0669253,Marshall,22/05/2016,1900000.0,S,h,3,1.0,3.0,2.0,328.0,108.0,1900.0
264,0313561,Fletchers,22/08/2016,315000.0,SP,u,1,1.0,1.0,1.0,0.0,,
265,0441874,hockingstuart,24/09/2016,450000.0,PI,u,1,1.0,1.0,1.0,0.0,,
266,0680312,Jellis,25/02/2017,710000.0,S,u,2,1.0,2.0,1.0,2471.0,80.0,1970.0
